z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.01180078125,1.0111036854821565,-1.2050322898553194e-146,434.39259573737598,0.9677002071707929,0.10753956149632658,1.851689456073496e-05,5.4555777374359415e-06,0.14421566841135625,4.5715128302626104e-05,0.010264116620153148,0.00018573706241268543,5.1777742574207212e-05,0.73767345106657634
0.011804687500000001,1.030817641052977,-1.2085369627307473e-146,443.23647798203876,0.9491933369846064,0.10634820634958977,2.3712192406818721e-05,6.4224550173678957e-06,0.14404124922762901,5.4544321685751778e-05,0.011035322962970166,0.0001955619887007052,5.3586056199400729e-05,0.73824139444580106
0.011808593750000001,1.0514847627615462,-1.2115784661962089e-146,452.50105367256316,0.930536761298165,0.10514284995877937,3.0122491468063316e-05,7.5557420814965087e-06,0.1438463617284404,6.4666655621650523e-05,0.011848062306712462,0.00020458445140327604,5.5235684958999163e-05,0.73880056098053415
0.0118125,1.0730958037989751,-1.2143745508624014e-146,462.18262074958022,0.911796700823764,0.1039242826466,3.7958372451054595e-05,8.8789410518239197e-06,0.14363053432234052,7.6139118680710154e-05,0.012702516918986528,0.00021264119878497257,5.6711512525999071e-05,0.73935033696857833
0.01181640625,1.0956350410368794,-1.2154928853869781e-146,472.27465001900623,0.8930393458696136,0.10269330212591037,4.7447860796018444e-05,1.0417589018768876e-05,0.14339338633659046,8.8987020026500498e-05,0.013598672016782309,0.00021959863817344735,5.8001792790355238e-05,0.73989018661991179
0.011820312499999999,1.1190803961985427,-1.2164920216459755e-146,482.76783047409731,0.8743296635215286,0.10145070874818579,5.8833603144288444e-05,1.2199327756990767e-05,0.14313463065934884,0.00010319869897467927,0.01453631872545851,0.00022535924648982552,5.9098146665501835e-05,0.7404196528439756
0.011824218750000001,1.1434037353949018,-1.2172557361435041e-146,493.65019206763446,0.8557302562501778,0.10019730127859093,7.2369202145192103e-05,1.425403733543402e-05,0.14285407495909805,0.00011872225359798818,0.015515061503945287,0.00022986527648066087,5.9995386033512635e-05,0.74093835610277292
0.011828125,1.168571333132894,-1.2179183971855485e-146,504.90730016051901,0.837300324333963,0.098933873194870472,8.8314850965669019e-05,1.6614059038938808e-05,0.14255162124846321,0.00013546480001800634,0.016534329615602601,0.00023309950862005421,6.069121301374244e-05,0.74144599150940727
0.01183203125,1.1945444758374892,-1.2181884601379647e-146,516.52251105902133,0.8190947767183435,0.09766120945488356,0.00010693247886253013,1.9314527857346119e-05,0.14222726353861195,0.00015329450734399844,0.017593392036812074,0.00023508316301339491,6.1185849336075528e-05,0.74194232444327901
0.011835937500000001,1.2212801717379294,-1.218415731599558e-146,528.47727446960471,0.8011635231145301,0.096380083639024963,0.00012848067050762429,2.2393825940800874e-05,0.14188108337712546,0.00017204533439983119,0.01869137508595509,0.00023587140481380679,6.1481647258614832e-05,0.74242718501497373
0.011839843750000001,1.2487319295540755,-1.2185653312469476e-146,540.75146673703989,0.7835509659017255,0.09509125535500372,0.00015320964623792026,2.589415686515458e-05,0.14151324317808903,0.00019152407835545005,0.019827282023080355,0.00023554709846733066,6.1582722653971326e-05,0.74290046174124702
0.01184375,1.2768505679191118,-1.2186870858225815e-146,553.32373846230939,0.7662956956819728,0.093795467795373497,0.00018135658407601463,2.986222759505615e-05,0.14112397742099267,0.00021151908663071261,0.021000013900290878,0.00023421356341933548,6.1494636149565497e-05,0.74336209478547233
0.011851562499999999,1.3349100587986329,-1.2187159434960922e-146,579.28501412032494,0.7329670326182158,0.091185814720506006,0.0002484654598804786,3.9344329751760052e-05,0.14028272899980063,0.00025238206028440127,0.023450909457397813,0.00022888841394574935,6.0775402807881797e-05,0.74425069115562537
0.011859375,1.3949504580473346,-1.2187271000751342e-146,606.14012866333735,0.7014192020285996,0.088556807565539034,0.00033148714937571329,5.1330556913107466e-05,0.13936266353639548,0.00029288441099407047,0.026030388769729403,0.00022107420399847152,5.9417479726949541e-05,0.74509394632732784
0.011867187500000001,1.4565690797688162,-1.2187248404407486e-146,633.71209007079199,0.6717463838939256,0.085913481028761396,0.00043149250395923221,6.6408699827412361e-05,0.13836700597332521,0.00033180002490908357,0.028728198054940379,0.00021166119806958241,5.7495750147738547e-05,0.74589245676605997
0.011875,1.5193812960781936,-1.2187245638447362e-146,661.83083904938314,0.6439759344729884,0.083260447507171154,0.00054915205806999989,8.5298281376889137e-05,0.13729893755142999,0.0003683734802244975,0.031534226732675356,0.00020139007609709306,5.5092397575752722e-05,0.74664708191537921
0.011882812499999999,1.5830306597377306,-1.218724585842173e-146,690.33773755263599,0.6180833986407293,0.080601867098519478,0.00068475860975067936,0.00010885703472452541,0.13616129202633398,0.0004023855983281114,0.034438878924981063,0.00019082367220269361,5.2294403476896754e-05,0.74735884263168262
0.011890625,1.6471945009014382,-1.2187245670189015e-146,719.08811915329773,0.5940069327716117,0.077941452661047655,0.00083827150244304965,0.00013807237218272373,0.13495637166321212,0.00043412660353138894,0.037433301320463845,0.00018035703650705963,4.9190913844490486e-05,0.74802885592676771
